Tamaño,Tiempo(s),Memoria Pico (KB)
1000,0.012926,6008
5000,0.124538,6116
10000,0.254366,6180
50000,1.18948,6704
100000,2.05341,7344
250000,6.35487,9500
500000,16.7305,12828
